id,name,categories,referralId,hasPerk,location.lat,location.lng,location.labeledLatLngs,location.cc,location.city,location.state,location.country,location.formattedAddress,location.address,location.postalCode,location.crossStreet,venuePage.id,location.neighborhood,delivery.id,delivery.url,delivery.provider.name,delivery.provider.icon.prefix,delivery.provider.icon.sizes,delivery.provider.icon.name
4ffb3179e4b0734a7c5d1504,ZombieRunner Espresso Bar,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648418,False,37.426080601991075,-122.14491890844845,"[{'label': 'display', 'lat': 37.426080601991075, 'lng': -122.14491890844845}]",US,Palo Alto,CA,United States,"['429 S California Ave', 'Palo Alto, CA 94306', 'United States']",429 S California Ave,94306,,,,,,,,,
4a789e21f964a5200de61fe3,Driftwood Deli & Market,"[{'id': '4bf58dd8d48988d1c5941735', 'name': 'Sandwich Place', 'pluralName': 'Sandwich Places', 'shortName': 'Sandwiches', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}, 'primary': True}]",v-1586648418,False,37.419048910115116,-122.13515406669647,"[{'label': '?', 'lat': 37.419198, 'lng': -122.135098}]",US,Palo Alto,CA,United States,"['3450 El Camino Real (at Matadero Rd)', 'Palo Alto, CA 94306', 'United States']",3450 El Camino Real,94306,at Matadero Rd,,,,,,,,
4a760954f964a52005e21fe3,Café Brioche,"[{'id': '4bf58dd8d48988d10c941735', 'name': 'French Restaurant', 'pluralName': 'French Restaurants', 'shortName': 'French', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}, 'primary': True}]",v-1586648418,False,37.42582193884132,-122.1451796244278,"[{'label': 'display', 'lat': 37.42582193884132, 'lng': -122.1451796244278}]",US,Palo Alto,CA,United States,"['445 S California Ave (at W El Camino Real)', 'Palo Alto, CA 94306', 'United States']",445 S California Ave,94306,at W El Camino Real,,,588966,https://www.grubhub.com/restaurant/cafe-brioche-445-s-california-ave-palo-alto/588966?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=588966,grubhub,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_grubhub_20180129.png
4bb616de46d4a593a5a9c5c0,Stanford RCO - Coffee Station,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648418,False,37.416954,-122.150997,"[{'label': 'display', 'lat': 37.416954, 'lng': -122.150997}]",US,,California,United States,"['California', 'United States']",,,,,,,,,,,
4f441ccb19836ed0019256f1,Cafe Soulstice,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648418,False,37.421989,-122.137724,"[{'label': 'display', 'lat': 37.421989, 'lng': -122.137724}]",US,Palo Alto,CA,United States,"['440 Portage Ave', 'Palo Alto, CA 94306', 'United States']",440 Portage Ave,94306,,,,,,,,,
53433fae498e1d5d89b48a1e,Starbucks Drive Thru,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648418,False,37.417393,-122.130569,"[{'label': 'display', 'lat': 37.417393, 'lng': -122.130569}]",US,Palo Alto,CA,United States,"['3885 El Camino Real', 'Palo Alto, CA 94306', 'United States']",3885 El Camino Real,94306,,,,,,,,,
4eb42d76e30006eb11923695,Avalon at DIMG,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648418,False,37.42583475276071,-122.1395251230005,"[{'label': 'display', 'lat': 37.42583475276071, 'lng': -122.1395251230005}]",US,Palo Alto,CA,United States,"['395 Page Mill Rd #200', 'Palo Alto, CA 94306', 'United States']",395 Page Mill Rd #200,94306,,,,,,,,,
511e9f35e4b0e88c35d80bb1,Varian True Bean Cafe,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",v-1586648418,False,37.4165436807884,-122.14380451082536,"[{'label': 'display', 'lat': 37.4165436807884, 'lng': -122.14380451082536}]",US,Palo Alto,CA,United States,"['Palo Alto, CA 94306', 'United States']",,94306,,,,,,,,,
5a6f5d806a595012d875f54e,Baron Barista,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",v-1586648418,False,37.415471000000004,-122.128947,"[{'label': 'display', 'lat': 37.415471000000004, 'lng': -122.128947}]",US,Palo Alto,CA,United States,"['Palo Alto, CA 94306', 'United States']",,94306,,,Barron Park,,,,,,
4dda80db1838b8561d317a88,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648418,False,37.41463428168022,-122.14610563389716,"[{'label': 'display', 'lat': 37.41463428168022, 'lng': -122.14610563389716}]",US,Palo Alto,CA,United States,"['3000 Hanover St (inside Hewlett-Packard)', 'Palo Alto, CA 94304', 'United States']",3000 Hanover St,94304,inside Hewlett-Packard,,,,,,,,
50351d84e4b05cd3b14e516a,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648418,False,37.42438187,-122.1709577,"[{'label': 'display', 'lat': 37.42438187, 'lng': -122.1709577}]",US,Stanford,CA,United States,"['459 Lagunita Drive', 'Stanford, CA 94305', 'United States']",459 Lagunita Drive,94305,,,,,,,,,
